"secs","kph","rpm","watts","hr","torq","km","g"
655.2,26.5,74,138,122,6.4,5.036,2.84
657.72,26.4,75,157,122,7.3,5.053,2.79
660.24,26,79,159,122,7.6,5.073,2.61
662.76,25.8,80,177,122,8.5,5.09,2.56
665.28,25.4,75,172,122,8.4,5.107,2.69
667.8,24.9,77,184,122,9.2,5.125,2.57
670.32,24.8,78,175,0,8.7,5.142,2.52
672.84,25.2,77,205,0,10.1,5.161,2.6
675.36,25.3,78,178,0,8.7,5.178,2.57
677.88,24.9,78,200,0,9.9,5.196,2.53
680.4,23,67,236,0,12.7,5.213,2.72
682.92,22.1,68,256,0,14.3,5.228,2.58
685.44,20.8,64,232,130,13.8,5.243,2.58
687.96,22.8,98,180,130,9.7,5.258,1.85
690.48,24.2,93,102,131,5.2,5.275,2.07
693,25,69,66,134,3.3,5.293,2.88
695.52,25.2,73,46,137,2.3,5.31,2.74
698.04,24.8,0,0,137,0,5.327,NA
700.56,24.4,0,0,136,0,5.344,NA
703.08,23.1,0,0,130,0,5.362,NA
705.6,15.5,67,27,129,2.1,5.372,1.84
708.12,14.7,50,225,129,19,5.383,2.33
710.64,20.4,67,161,129,9.7,5.396,2.42
713.16,24.1,82,119,129,6.1,5.413,2.33
715.68,25.9,89,111,0,5.3,5.431,2.31
718.2,26.8,81,160,0,7.3,5.45,2.63
720.72,26.9,82,172,0,7.9,5.467,2.6
723.24,27.1,66,144,0,6.6,5.487,3.26
725.76,26.4,82,169,0,7.9,5.506,2.56
728.28,26.5,80,126,0,5.9,5.523,2.63
730.8,27.2,82,50,120,2.3,5.543,2.63
733.32,27.6,76,45,120,2,5.562,2.88
735.84,28.4,91,109,120,4.7,5.581,2.48
738.36,29.3,85,150,121,6.3,5.603,2.74
740.88,29.5,93,165,122,6.9,5.622,2.52
743.4,29.7,72,103,122,4.3,5.644,3.27
745.92,29.4,72,110,122,4.6,5.665,3.24
748.44,29.4,101,148,122,6.2,5.685,2.31
750.96,29.4,84,91,122,3.8,5.706,2.78
753.48,28.9,97,79,122,3.4,5.726,2.36
756,28.8,86,84,113,3.6,5.745,2.66
758.52,28.6,81,105,111,4.5,5.767,2.8
761.04,28.9,86,108,111,4.6,5.786,2.67
763.56,28.6,88,99,113,4.3,5.806,2.58
766.08,28.5,70,143,117,6.2,5.827,3.23
